開始,結束,工單,總數,盤號,OK數,NG數,OK盤號1,OK盤號2,OK盤號3,NG盤號1,NG盤號2,NG盤號3
20260504_09:01:44, 20260504_09:05:43, 10000504, 2890, 085300, 0, 68, , , , 43540010010201E2806A96000050225CA8AD1BB5
20260504_09:09:07, 20260504_09:12:02, 10000504, 2890, 085312, 0, 48, , , , 43540010010201E2806A96000040225CA96D1B04
20260504_09:16:35, 20260504_09:21:12, 10000504, 2890, 085323, 0, 82, , , , 43540010010201E2806A96000050225CA9BD1BA4
20260504_09:24:04, 20260504_09:28:07, 10000504, 2890, 091311, 0, 67, , , , 43540010010201E2806A96000040225CA13D1C3B
20260504_09:31:31, 20260504_09:35:50, 10000504, 2890, 091328, 0, 74, , , , 43540010010201E2806A96000040225CA9511B20
20260504_09:39:51, 20260504_09:45:16, 10000504, 2890, 093208, 0, 97, , , , 20260504_094516
20260504_09:47:19, 20260504_09:50:43, 10000504, 2890, 093223, 0, 55, , , , 43540010010201E2806A96000050225CA9811BE0
20260504_09:54:47, 20260504_09:58:43, 10000504, 2890, 093236, 0, 65, , , , 43540010010201E2806A96000040225CA9011B70
20260504_10:02:15, 20260504_10:07:00, 10000504, 2890, 094312, 0, 84, , , , 43540010010201E2806A96000040225CA9C11BB0
20260504_10:09:45, 20260504_10:15:07, 10000504, 2890, 095205, 0, 94, , , , 43540010010201E2806A96000050225CA0A11CC8
20260505_09:07:03, 20260505_09:08:48, 10000505, 2890, 085828, 0, 26, , , , 43540010010201E2806A96000050225CA8AD1BB5
20260505_09:14:17, 20260505_09:15:59, 10000505, 2890, 085840, 0, 26, , , , 43540010010201E2806A96000040225CA96D1B04
20260505_09:21:43, 20260505_09:23:50, 10000505, 2890, 085851, 0, 34, , , , 43540010010201E2806A96000050225CA9BD1BA4
20260505_09:29:08, 20260505_09:31:28, 10000505, 2890, 091847, 0, 37, , , , 43540010010201E2806A96000040225CA13D1C3B
20260505_09:36:34, 20260505_09:38:42, 10000505, 2890, 091913, 0, 35, , , , 43540010010201E2806A96000040225CA9511B20
20260505_09:43:59, 20260505_09:47:06, 10000505, 2890, 093409, 0, 51, , , , 43540010010201E2806A96000050225CA98D1BD4
20260505_09:51:25, 20260505_09:53:30, 10000505, 2890, 093425, 0, 33, , , , 43540010010201E2806A96000050225CA9811BE0
20260505_09:58:51, 20260505_10:01:21, 10000505, 2890, 093753, 0, 41, , , , 43540010010201E2806A96000040225CA9011B70
20260505_10:06:18, 20260505_10:08:36, 10000505, 2890, 094733, 0, 36, , , , 43540010010201E2806A96000040225CA9C11BB0
